ingresos,gasto_ppal,vehiculo,otros_gastos,ahorros,Valor_vivienda,estado_civil,hijos,trabajo,comprara
6000,1000,0,600,50000,400000,Soltero,2,Tipo 2,Si
6745,944,123,429,43240,636897,Casado,3,Tipo 6,No
6455,1033,98,795,57463,321779,Separado,1,Tipo 8,Si
7098,1278,15,254,54506,660933,Soltero,0,Tipo 3,No
6167,863,223,520,41512,348932,Soltero,0,Tipo 3,Si
5692,911,11,325,50875,360863,Casado,4,Tipo 5,Si
6830,1298,345,309,46761,429812,Casado,1,Tipo 5,Si
6470,1035,39,782,57439,606291,Soltero,0,Tipo 1,No
6251,1250,209,571,50503,291010,Soltero,0,Tipo 3,Si
6987,1258,252,245,40611,324098,Separado,1,Tipo 7,Si
7273,1455,303,201,39340,577972,Soltero,0,Tipo 0,No
5058,1012,74,463,51836,427334,Separado,0,Tipo 2,No
5663,793,121,225,67971,524971,Separado,3,Tipo 6,Si
6139,921,210,387,65438,333239,Casado,3,Tipo 8,Si
7567,1059,341,339,42462,641963,Separado,2,Tipo 5,No
5749,690,291,698,50257,305122,Separado,0,Tipo 4,Si
5685,910,182,271,66947,365809,Casado,2,Tipo 8,Si
6722,807,52,779,66020,593711,Separado,2,Tipo 7,No
7705,1387,348,366,65410,597411,Soltero,0,Tipo 2,No
6038,966,53,270,69636,286581,Casado,1,Tipo 7,Si
6840,889,127,263,50080,455906,Separado,0,Tipo 0,No
6519,782,274,232,69934,569270,Separado,1,Tipo 8,Si
7831,1096,315,229,62661,653266,Soltero,0,Tipo 1,No
6717,806,265,260,49606,295710,Separado,1,Tipo 8,Si
5099,867,73,336,40451,340230,Soltero,0,Tipo 1,Si
5897,1061,273,499,64423,435700,Soltero,0,Tipo 3,No
5294,688,71,725,48188,444817,Casado,4,Tipo 5,No
6148,1168,93,413,68048,512193,Soltero,0,Tipo 4,No
7939,1350,69,552,52197,443279,Soltero,0,Tipo 4,Si
7287,874,143,525,40079,297363,Casado,4,Tipo 8,Si
7422,1336,230,418,48257,338751,Separado,1,Tipo 8,Si
6381,766,333,571,43227,560508,Casado,0,Tipo 2,No
5163,620,99,696,64331,669540,Separado,3,Tipo 5,No
5458,1037,109,393,38791,496089,Soltero,0,Tipo 0,No
7349,1102,221,402,48110,346403,Soltero,0,Tipo 3,Si
7174,1220,171,824,39913,486401,Separado,1,Tipo 6,Si
7276,1455,285,384,61125,443008,Soltero,0,Tipo 0,No
7984,958,181,828,47359,397624,Casado,3,Tipo 6,Si
6025,964,187,567,63892,302117,Casado,2,Tipo 5,Si
6692,1205,132,641,64832,553305,Casado,2,Tipo 7,No
6822,1296,81,786,50433,669054,Soltero,0,Tipo 0,No
6044,967,239,615,66145,395608,Casado,1,Tipo 5,Si
5218,626,2,470,63208,631366,Casado,1,Tipo 7,No
7413,890,262,709,68843,619056,Separado,3,Tipo 7,Si
6952,1043,251,319,43326,545659,Soltero,0,Tipo 3,No
5515,993,156,247,50121,286808,Casado,0,Tipo 4,Si
5126,615,258,514,41683,313057,Soltero,0,Tipo 4,Si
5536,720,174,285,49221,357007,Casado,2,Tipo 5,Si
7180,862,258,268,50418,386817,Separado,1,Tipo 6,Si
6959,1392,333,818,67714,571076,Soltero,0,Tipo 3,No
4952,1585,53,566,29597,261983,Casado,2,Tipo 7,Si
2928,820,25,577,28184,290076,Casado,1,Tipo 8,No
2036,550,403,617,32738,224583,Separado,1,Tipo 7,No
3961,951,423,366,10746,265455,Casado,3,Tipo 5,No
2516,755,64,601,16649,262250,Soltero,0,Tipo 1,No
3382,710,94,357,24576,228510,Casado,4,Tipo 7,Si
4119,906,251,643,24196,288956,Separado,0,Tipo 3,No
3951,1027,443,569,24268,233354,Casado,0,Tipo 1,No
4792,1198,90,655,32444,335019,Soltero,0,Tipo 0,No
3731,1045,320,304,39448,349870,Soltero,0,Tipo 1,No
4736,947,21,647,26689,212121,Separado,3,Tipo 7,Si
4433,1374,337,538,11171,380195,Casado,1,Tipo 7,No
4909,1424,323,610,16475,341337,Soltero,0,Tipo 1,No
3105,559,318,690,31271,317379,Casado,3,Tipo 8,No
2138,449,228,617,13923,398611,Soltero,0,Tipo 1,No
2274,728,161,378,26207,196232,Separado,1,Tipo 6,No
2032,569,348,513,17902,209280,Separado,1,Tipo 8,No
3361,1008,63,746,25404,254237,Soltero,0,Tipo 3,No
3043,578,290,460,28647,229343,Separado,1,Tipo 5,No
3473,660,107,428,25235,182365,Soltero,0,Tipo 4,Si
3162,822,64,453,26270,216440,Separado,2,Tipo 6,No
4473,1208,308,684,23830,281640,Casado,1,Tipo 8,No
2937,705,437,405,13268,177774,Separado,1,Tipo 7,No
4553,1502,18,745,28731,301332,Casado,1,Tipo 8,No
3733,821,188,514,15647,365570,Soltero,0,Tipo 1,No
2409,554,392,435,29014,298841,Separado,3,Tipo 8,No
2369,474,131,438,19537,203052,Soltero,0,Tipo 1,No
4503,1441,224,685,26001,289485,Separado,4,Tipo 8,No
4606,1336,54,532,10319,365449,Casado,3,Tipo 6,No
3806,761,198,524,21906,266681,Separado,0,Tipo 2,No
3218,611,222,341,39174,330991,Separado,1,Tipo 6,No
4927,1429,141,398,33863,279323,Soltero,0,Tipo 3,No
3784,1173,448,394,17709,176553,Separado,0,Tipo 0,No
3437,687,56,623,11642,393544,Separado,0,Tipo 2,No
4648,1116,419,686,24874,191190,Casado,3,Tipo 8,Si
